"Part";"Value";"Device";"Package";"Description";"SORT";
"C1";"560p";"CAPACITOR-USC0805";"C0805";"Capacitor";"3";
"C2";"Polypropylene Film 4.7nF";"CAPACITOR-USC050-045X075";"C050-045X075";"Capacitor";"5";
"C3";"100nF";"CAPACITOR-USC0805";"C0805";"Capacitor";"3";
"C4";"10uF";"CAPACITOR_POL-US153CLV-0505";"153CLV-0505";"Electro Capacitor";"3";
"C5";"10uF";"CAPACITOR_POL-US153CLV-0505";"153CLV-0505";"Electro Capacitor";"3";
"C6";"100nF";"CAPACITOR-USC0805";"C0805";"Capacitor";"3";
"C7";"1u";"CAPACITOR-USC0805";"C0805";"Capacitor";"3";
"C8";"100nF";"CAPACITOR-USC0805";"C0805";"Capacitor";"3";
"C9";"100nF";"CAPACITOR-USC0805";"C0805";"Capacitor";"3";
"C10";"100nF";"CAPACITOR-USC0805";"C0805";"Capacitor";"3";
"C11";"100nF";"CAPACITOR-USC0805";"C0805";"Capacitor";"3";
"CLK";"PJ301M-12";"SOCKET_MONO_3.5MMPJ301M-12";"PJ301M-12";"3.5 mm Jack Socket";"8";
"D1";"1N914";"DIODEDO-41";"DO-41";"Diode";"1";
"D2";"STTH102A";"DIODESMA";"SMADIODE";"Diode";"3.9";
"D3";"STTH102A";"DIODESMA";"SMADIODE";"Diode";"3.9";
"IC1";"LF398";"SAMPLE_HOLD_LF398";"SOIC--8";"Sample and Hold";"4";
"IC2";"TL072";"OPAMP_DUALD";"SO08";"Dual Op Amp";"4.5";
"IC3";"cd4093";"SCHMITT_TRIG_QUAD";"SOIC14";"Quad 2-input NAND schmitt trigger";"4";
"IN";"PJ301M-12";"SOCKET_MONO_3.5MMPJ301M-12";"PJ301M-12";"3.5 mm Jack Socket";"8";
"OUT";"PJ301M-12";"SOCKET_MONO_3.5MMPJ301M-12";"PJ301M-12";"3.5 mm Jack Socket";"8";
"PWR";"HEADER2X5SHD";"HEADER2X5SHD";"2X5-SHROUDED";"Header 5x2";"7";
"R1";"100k";"RESISTOR_USR0805";"R0805";"Resistor";"2";
"R2";"2K2";"RESISTOR_USR0805";"R0805";"Resistor";"2";
"R3";"10k";"RESISTOR_USR0805";"R0805";"Resistor";"2";
"R4";"5k6";"RESISTOR_USR0805";"R0805";"Resistor";"2";
"R5";"100k";"RESISTOR_USR0805";"R0805";"Resistor";"2";
"R6";"2k2";"RESISTOR_USR0805";"R0805";"Resistor";"2";
"R7";"1k";"RESISTOR_USR0805";"R0805";"Resistor";"2";
"R8";"100k";"RESISTOR_USR0805";"R0805";"Resistor";"2";
"R9";"100k";"RESISTOR_USR0805";"R0805";"Resistor";"2";
"R10";"100k";"RESISTOR_USR0805";"R0805";"Resistor";"2";
"RATE";"Q-POT";"RESISTOR_VARIABLE9MM_POT";"POTENTIOMETER_9MM";"Pot";"8";
"T1";"MMBT3904";"TRANSISTOR_NPNSOT23";"SOT23";"Generic NPN BJT";"4";
